sample,fastq_1,fastq_2,single_end,pipeline,cell_line,assay_category
HT29_21T_3A2_bsTNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21T_3A2_bsTNA-HP_S8_unbarcoded.cutadapt.fastq,,true,P1_DNA_SNP,HT29,HairyTNA
HT29_21T_3A2_bsTNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21T_3A2_bsTNA-HP_S8_unbarcoded.cutadapt.fastq,,true,P2_DNA_Meth,HT29,HairyTNA
HT29_21T_3A2_bsTNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21T_3A2_bsTNA-HP_S8_unbarcoded.cutadapt.fastq,,true,P3_CNV,HT29,HairyTNA
HT29_21T_3A2_bsTNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21T_3A2_bsTNA-HP_S8_barcoded.cutadapt.fastq,,true,P4_RNA_Counts,HT29,HairyTNA
HT29_21T_3A2_bsTNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21T_3A2_bsTNA-HP_S8_barcoded.cutadapt.fastq,,true,P5_RNA_SNP,HT29,HairyTNA
HT29_21U_3A2_bsRNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21U_3A2_bsRNA-HP_S9_barcoded.cutadapt.fastq,,true,P4_RNA_Counts,HT29,HairyTNA
HT29_21U_3A2_bsRNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21U_3A2_bsRNA-HP_S9_barcoded.cutadapt.fastq,,true,P5_RNA_SNP,HT29,HairyTNA
HT29_21V_3A2_bsRNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21V_3A2_bsRNA-HP_S10_barcoded.cutadapt.fastq,,true,P4_RNA_Counts,HT29,HairyTNA
HT29_21V_3A2_bsRNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21V_3A2_bsRNA-HP_S10_barcoded.cutadapt.fastq,,true,P5_RNA_SNP,HT29,HairyTNA
HT29_21W_3A2_bsDNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21W_3A2_bsDNA-HP_S11_unbarcoded.cutadapt.fastq,,true,P1_DNA_SNP,HT29,HairyTNA
HT29_21W_3A2_bsDNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21W_3A2_bsDNA-HP_S11_unbarcoded.cutadapt.fastq,,true,P2_DNA_Meth,HT29,HairyTNA
HT29_21W_3A2_bsDNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21W_3A2_bsDNA-HP_S11_unbarcoded.cutadapt.fastq,,true,P3_CNV,HT29,HairyTNA
HT29_21X_3A2_bsDNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21X_3A2_bsDNA-HP_S12_unbarcoded.cutadapt.fastq,,true,P1_DNA_SNP,HT29,HairyTNA
HT29_21X_3A2_bsDNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21X_3A2_bsDNA-HP_S12_unbarcoded.cutadapt.fastq,,true,P2_DNA_Meth,HT29,HairyTNA
HT29_21X_3A2_bsDNA-HP,s3://motleybio/Laboratory/ASSAY_DEVELOPMENT/run_motley34/seqera_HP_output/rna_deconvolution/cutadapt/HT29_21X_3A2_bsDNA-HP_S12_unbarcoded.cutadapt.fastq,,true,P3_CNV,HT29,HairyTNA
